feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110497237569061	0	0.102209944751381	0	0	0	0	0.104972375690608	0.0939226519337017	0.0773480662983425	0	0	0	0.0580110497237569	0.0856353591160221	0.0966850828729282	0	0	0	0.06353591160221	0	0.0441988950276243	0	0.0580110497237569	0.104972375690608
22010-0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299065420560748	0.700934579439252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0057	0	0	0	0	0	0	0	0	0	0.581818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418181818181818	0	0	0	0	0	0	0	0	0	0
22010-0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102902374670185	0	0.0817941952506596	0	0	0	0	0.100263852242744	0.0580474934036939	0.079155672823219	0	0	0	0.0606860158311346	0.100263852242744	0.0844327176781003	0	0	0	0.0923482849604222	0	0.0870712401055409	0	0.0712401055408971	0.0817941952506596
22010-0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22010-0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113136979897148	0	0.0972417017297803	0	0	0	0	0.0935016362786349	0.0836839644693782	0.0930341280972417	0	0	0	0.0832164562879851	0.0794763908368397	0.0864890135577373	0	0	0	0.0682561944834035	0	0.0757363253856943	0	0.0570359981299673	0.0691912108461898
22010-0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11027713625866	0	0.0946882217090069	0	0	0	0	0.0969976905311778	0.0831408775981524	0.075635103926097	0	0	0	0.0808314087759815	0.0848729792147806	0.0871824480369515	0	0	0	0.0640877598152425	0	0.0762124711316397	0	0.0704387990762125	0.075635103926097
22010-0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0071	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0075	0	0.00893582453290008	0.0276198212835093	0	0	0.0154346060113729	0.00812347684809098	0	0	0	0.0186839967506093	0.00731112916328188	0.00568643379366369	0.119415109666937	0	0.0796100731112916	0.00406173842404549	0	0	0.00649878147847279	0.0755483346872461	0.0926076360682372	0.09910641754671	0	0	0.0243704305442729	0.066612510154346	0.065800162469537	0.066612510154346	0.0105605199025183	0	0.00406173842404549	0.0454914703493095	0	0.0528025995125914	0	0.0511779041429732	0.0438667749796913
